molregno	canonical_smiles
262422	O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1ccc(Cl)c(C(=O)O)c1
262665	COc1ccccc1C1=C(Nc2cccc(Cl)c2)C(=O)NC1=O
262695	COc1ccccc1C1=C(Nc2ccc(SC)cc2)C(=O)NC1=O
262821	O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(O)c(Cl)c1
262939	COc1ccccc1C1=C(Nc2ccc(O)c(Cl)c2)C(=O)NC1=O
262940	O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1ccc(O)c(Cl)c1
263351	O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1cccc(Cl)c1
264427	CCCCCCCCCC[C@H]1C(=O)N[C@H](CO)Cc2ccccc2N1C
264428	CCCCCCCCCCCCCC[C@H]1C(=O)N[C@H](CO)Cc2ccccc2N1C
291635	Cn1cc(/C=C2\C(=O)Nc3cccnc32)c2ccccc21
285926	COc1cc[nH]c1/C=C1\C(=O)Nc2ccc(F)c(C#C[C@@H]3CCCN3)c21
286093	COc1cc[nH]c1/C=C1\C(=O)Nc2ccc(F)c(C#C[C@@H](O)[C@@H](N)[C@@H](C)O)c21
287552	Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1
293378	O=C(N[C@@H]1CCCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
